1371498949;55098;RBAC: Add cache for oss rbac permissions;23356117;kalleep;closed;2022-09-13T13:54:38Z;2022-09-14T07:13:10Z;2022-09-14T07:13:11Z;2022-09-14T07:13:10Z;62312;62313
1372474668;55147;RBAC: Fix background users to include permissions;23356117;kalleep;closed;2022-09-14T07:09:52Z;2022-09-14T09:26:06Z;2022-09-14T09:26:07Z;2022-09-14T09:26:06Z;8174;8175
1364182202;54823;Prometheus: properly check for proxy mode;2377233;GiedriusS;open;2022-09-07T06:54:31Z;;2022-09-14T09:58:46Z;;0;11055
1296636257;51857;Analytics: Add total queries and cached queries to metaanalytics;4989811;tab0r;closed;2022-07-07T00:38:12Z;2022-07-07T00:38:57Z;2022-09-14T10:21:45Z;;0;35013
1366209720;54902;Chore: Upgrade Go to 1.19.1;298945;sakjur;closed;2022-09-08T12:22:37Z;2022-09-12T10:03:49Z;2022-09-14T10:47:28Z;2022-09-12T10:03:49Z;78072;80691
1372735050;55158;Loki: Hide loki sample queries from query inspector;30407135;ivanahuckova;closed;2022-09-14T10:22:19Z;2022-09-14T12:25:26Z;2022-09-14T12:25:27Z;2022-09-14T12:25:26Z;7387;7388
1371854657;55126;Panel: Disable legends when showLegend is false prior to schema v37;5699976;ivanortegaalba;closed;2022-09-13T18:33:54Z;2022-09-14T12:33:04Z;2022-09-14T12:33:54Z;2022-09-14T12:33:04Z;64750;64800
1364175279;54822;Convert packages/jaeger-ui-components/src/TracePageHeader/SpanGraph/Scrubber.test.js to RTL;1501599;gitstart;closed;2022-09-07T06:46:59Z;2022-09-14T12:40:40Z;2022-09-14T12:42:42Z;2022-09-14T12:40:40Z;21221;21343
1372912949;55165;[v9.1.x] Panel: Disable legends when showLegend is false prior to schema v37;43478413;grafanabot;closed;2022-09-14T12:35:14Z;2022-09-14T12:48:04Z;2022-09-14T12:53:35Z;2022-09-14T12:48:04Z;770;1101
1372524734;55148;Loki: Rename public/app/plugins/datasource/loki/live_streams.ts file to follow convention;1501599;gitstart;closed;2022-09-14T07:50:13Z;2022-09-14T12:55:15Z;2022-09-14T12:55:16Z;2022-09-14T12:55:15Z;18302;18303
1372929514;55168;elasticsearch: simplify unit test;51989;gabor;closed;2022-09-14T12:46:35Z;2022-09-14T12:59:36Z;2022-09-14T12:59:37Z;2022-09-14T12:59:36Z;781;782
1371098660;55066;Correlations: Remove Correlations Page from the menu;745532;ifrost;closed;2022-09-13T08:57:03Z;2022-09-14T13:13:47Z;2022-09-14T13:14:07Z;;0;15424
1371243142;55075;RBAC: Batch create managed permissions;23356117;kalleep;closed;2022-09-13T10:45:30Z;2022-09-14T13:14:09Z;2022-09-14T13:14:10Z;2022-09-14T13:14:09Z;8919;8920
1371873236;55127;Alerting: Fix alerting evaluation to use proper permissions;25988953;yuri-tceretian;closed;2022-09-13T18:50:49Z;2022-09-14T13:30:58Z;2022-09-14T13:31:02Z;2022-09-14T13:30:58Z;67209;67213
